"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"149","2","B","C4","no tag",2022,"Reprodutivo",2,3,7.5,5.2,5.3,5,5,5,"Jovem",NA,NA,5.25,5,1,1,149
"150","2","B","C4","no tag",2023,"Reprodutivo",8,4,6.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,150
"151","2","B","D2","no tag",2023,"Jovem",1,5,11.1,5.5,5.5,NA,NA,NA,"Morreu",NA,NA,5.5,NA,0,0,151
"152","2","B","D2","no tag",2023,"Jovem",2,5,13.6,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,152
"153","2","B","D2","no tag",2023,"Jovem",2,5,13.6,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,153
"154","2","B","D2","no tag",2023,"Reprodutivo",8,2,1.5,7,5.5,NA,NA,NA,"Morreu",NA,NA,6.25,NA,1,0,154
"155","2","B","D2","no tag",2023,"Reprodutivo",8,2,15.7,5,5,17,5,5,"Morreu","Esqueleto com rebrota",NA,5,5,1,0,155
"156","2","B","D2","no tag",2023,"Reprodutivo",1,8.5,8,7.8,7.4,NA,NA,NA,"Morreu",NA,NA,7.6,NA,1,0,156
"157","2","B","E1","no tag",2023,"Reprodutivo",7,6.5,13.1,5.1,5.6,NA,NA,NA,"Morreu",NA,NA,5.35,NA,1,0,157
"158","2","B","E1","no tag",2023,"Reprodutivo",9,8,13.4,5.9,5,NA,NA,NA,"Morreu",NA,NA,5.45,NA,1,0,158
"159","2","B","E1","no tag",2023,"Reprodutivo",1.5,8,9.5,7.2,6.2,NA,NA,NA,"Morreu",NA,NA,6.7,NA,1,0,159
"160","2","B","E3","no tag",2023,"Reprodutivo",9,4,9.1,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,160
"161","2","B","E3","no tag",2023,"Reprodutivo",9,6,10.1,5.8,5,NA,NA,NA,"Morreu",NA,NA,5.4,NA,1,0,161
"162","2","B","E3","no tag",2023,"Reprodutivo",10,8,20.1,8.1,7.9,NA,NA,NA,"Morreu",NA,NA,8,NA,1,0,162
"163","2","B","E3","no tag",2022,"Reprodutivo",5,7,18.1,17.9,16.7,NA,NA,NA,"Morreu",NA,"adulto no tag, ano passado",17.3,NA,1,0,163
"164","2","B","E4","no tag",2023,"Reprodutivo",10,9,24.7,28,26.6,NA,NA,NA,"Morreu",NA,NA,27.3,NA,1,0,164
"165","2","C","D1","no tag",2023,"Jovem",8,9,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,165
"166","2","C","D1","no tag",2023,"Jovem",8.5,8.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,166
"167","2","C","D4","no tag",2023,"Reprodutivo",2.5,3.5,7.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,167
"168","2","C","D4","no tag",2023,"Reprodutivo",4,3,12,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,168
"169","2","C","D4","no tag",2023,"Jovem",6,4,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,169
"170","2","C","D4","no tag",2023,"Jovem",8,4,5,5,5,11,5,5,"Jovem",NA,NA,5,5,0,1,170
"171","2","C","D5","no tag",2023,"Jovem",4,4,14,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,171
"172","2","C","D5","no tag",2023,"Jovem",4,5,14.6,5.5,5.5,NA,NA,NA,"Morreu",NA,NA,5.5,NA,0,0,172
"173","2","C","D5","no tag",2023,"Jovem",4,8,10.4,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,173
"174","2","C","E2","no tag",2023,"Jovem",3,5,16.8,6.6,10.2,NA,NA,NA,"Morreu",NA,NA,8.4,NA,0,0,174
"175","2","C","E2","no tag",2023,"Jovem",5,5,5.6,7.4,7,16,5,5,"Jovem",NA,NA,7.2,5,0,1,175
"176","2","C","E2","no tag",2022,"Reprodutivo",8,4,23.1,29,27.6,NA,NA,NA,"Morreu",NA,NA,28.3,NA,1,0,176
"177","2","C","E3","no tag",2023,"Jovem",8.5,4.5,11.7,5.5,5,NA,NA,NA,"Morreu","Com esqueleto",NA,5.25,NA,0,0,177
"178","2","C","E5","no tag",2023,"Jovem",1,2,12.8,5,5,NA,NA,NA,"Morreu","Com esqueleto",NA,5,NA,0,0,178
"179","2","C","E5","no tag",2023,"Jovem",2.5,2,5,5,5,12,5,5,"Jovem",NA,NA,5,5,0,1,179
"180","2","C","E5","no tag",2023,"Jovem",3,1.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,180
"181","2","C","E5","no tag",2023,"Jovem",4,1,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,181
"182","2","D","B1","no tag",2023,"Reprodutivo",6.5,1,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,182
"183","2","D","B2","no tag",2022,"Reprodutivo",6.5,7.5,34,19.1,12.3,29,18,12,"Reprodutivo",NA,NA,15.7,15,1,1,183
