Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
5;D;50;50;A1;40;0;no tag;2024;new;6;1;46;1;96;51;;;;5;5;5;Jovem
5;D;50;50;A1;40;0;no tag;2024;new;1.5;6;41.5;6;91.5;56;;;;5;5;5;Jovem
5;D;50;50;A3;20;0;no tag;2024;new;1.5;8;21.5;8;71.5;58;;;;5;5;5;Jovem
5;D;50;50;B1;40;10;no tag;2024;new;6.5;0.5;46.5;10.5;96.5;60.5;;;;5;5;5;Jovem
5;D;50;50;B1;40;10;no tag;2024;new;8;5;48;15;98;65;;;;5;5;5;Jovem
5;D;50;50;C1;30;20;no tag;2024;new;1;7.5;31;27.5;81;77.5;;;;5;5;5;Jovem
5;D;50;50;D4;20;30;no tag;2024;new;9;5.5;29;35.5;79;85.5;;;;5;5;5;Jovem
6;D;;;D2;;;no tag;2024;new;3.5;8;3.5;8;3.5;8;;;;5;5;5;Jovem
6;D;;;E5;;;no tag;2024;new;8;4;8;4;8;4;;;;5;5;5;Jovem
6;D;;;E5;;;no tag;2024;new;4;4.5;4;4.5;4;4.5;;;;5;5;5;Jovem
6;A;;;A1;;;no tag;2024;new;7;1;7;1;7;1;;;;5;5;5;Jovem
6;A;;;C1;;;no tag;2024;new;7;4;7;4;7;4;;;;5;5;5;Jovem
6;A;;;D5;;;no tag;2024;new;7;5;7;5;7;5;;;;5;5;5;Jovem
6;A;;;D5;;;no tag;2024;new;7;5;7;5;7;5;;;;5;5;5;Jovem
6;B;;;A5;;;no tag;2024;new;10;6;10;6;10;6;;;;5;5;5;Jovem
6;B;;;C4;;;no tag;2024;new;5.5;4.5;5.5;4.5;5.5;4.5;;;;5;5;5;Jovem
6;C;;;A3;;;2870;2024;new;3;10;3;10;3;10;;;;20;10;11;Reprodutiva
6;C;;;A5;;;no tag;2024;new;8;3.5;8;3.5;8;3.5;;;;5;5;5;Jovem
6;C;;;B2;;;no tag;2024;new;6;4;6;4;6;4;;;;5;5;5;Jovem
6;C;;;B2;;;no tag;2024;new;6;7;6;7;6;7;;;;14;15;10;Jovem
6;C;;;B3;;;no tag;2024;new;4.5;8;4.5;8;4.5;8;;;;25;15;9;Reprodutiva
6;C;;;B5;;;no tag;2024;new;8;0;8;0;8;0;;;;5;5;5;Jovem
6;C;;;B5;;;no tag;2024;new;1.5;9;1.5;9;1.5;9;;;;5;5;5;Jovem
